Pelicula,Fecha-Estreno
Indiana Jones and the Last Crusade,1989
Ladri di biciclette,1948
Taare Zameen Par,2007
1917,2019
La caída,2004
Dangal,2016
Per qualche dollaro in più,1965
Batman Begins,2005
The Kid,1921
Una Eva y dos Adanes,1959
El padre,2020
All About Eve,1950
El lobo de Wall Street,2013
Green Book. Una amistad sin fronteras,2018
Judgment at Nuremberg,1961
Ran,1985
Casino,1995
El laberinto del fauno,2006
The Truman Show,1998
There Will Be Blood,2007
Unforgiven,1992
El Sexto Sentido,1999
Shutter Island,2010
Una mente brillante,2001
Jurassic Park,1993
Yôjinbô,1961
The Treasure of the Sierra Madre,1948
Monty Python and the Holy Grail,1975
The Great Escape,1963
No Country for Old Men,2007
Kill Bill: Vol. 1,2003
Rashômon,1950
Spider-Man: Sin camino a casa,2021
El enigma de otro mundo,1982
Finding Nemo,2003
The Elephant Man,1980
Chinatown,1974
Raging Bull,1980
V de venganza,2005
Lo que el viento se llevó,1939
"Lock, Stock and Two Smoking Barrels",1998
Intensa Mente,2015
Dial M for Murder,1954
El secreto de sus ojos,2009
Hauru no ugoku shiro,2004
Tres anúncios por un crimen,2017
The Bridge on the River Kwai,1957
Trainspotting,1996
Intriga,2013
Warrior,2011
Fargo,1996
Gran Torino,2008
Mi vecino Totoro,1988
Catch Me If You Can,2002
Million Dollar Baby,2004
Bacheha-Ye aseman,1997
Blade Runner,1982
The Gold Rush,1925
Before Sunrise,1995
Klaus,2019
12 años de esclavitud,2013
Harry Potter y las reliquias de la muerte (parte 2),2011
Nido de ratas,1954
Ben-Hur,1959
El gran hotel Budapest,2014
Perdida,2014
Smultronstället,1957
The General,1926
The Third Man,1949
In the Name of the Father,1993
Barry Lyndon,1975
The Deer Hunter,1978
Hacksaw Ridge,2016
Le salaire de la peur,1953
Salinui chueok,2003
Sherlock Jr.,1924
Relatos salvajes,2014
Mr. Smith Goes to Washington,1939
Mad Max: Furia en el Camino,2015
Det sjunde inseglet,1957
Mary and Max.,2009
How to Train Your Dragon,2010
La habitación,2015
"Monsters, Inc.",2001
Jaws,1975
Dead Poets Society,1989
The Big Lebowski,1998
Tôkyô monogatari,1953
La passion de Jeanne d'Arc,1928
Contra lo imposible,2019
Hotel Rwanda,2004
Rocky,1976
Platoon,1986
Ratatouille,2007
Spotlight,2015
The Terminator,1984
Logan,2017
Stand by Me,1986
Rush: pasión y gloria,2013
Network,1976
Before Sunset,2004
Into the Wild,2007
El mago de Oz,1939
Pather Panchali,1955
Groundhog Day,1993
The Best Years of Our Lives,1946
The Exorcist,1973
To Be or Not to Be,1942
The Incredibles,2004
La haine,1995
Pirates of the Caribbean: The Curse of the Black Pearl,2003
La battaglia di Algeri,1966
Jai Bhim,2021
The Grapes of Wrath,1940
Hachi: A Dog's Tale,2009
Babam ve Oglum,2005
Amores perros,2000
Rebecca,1940
Cool Hand Luke,1967
La doncella,2016
Les quatre cents coups,1959
La novicia rebelde,1965
It Happened One Night,1934
Persona,1966
Life of Brian,1979
The Iron Giant,1999
Dersu Uzala,1975
Historias cruzadas,2011
Aladdin,1992
Gandhi,1982
Dances with Wolves,1990
